Pick #,Player Name,Position,Team,Winning Bid Amount,Notes
1,Aaron Rodgers,QB,The Great Chewbaccas,$62,
2,Drew Brees,QB,Ghost of Derrick Thomas,$50,
3,Rashard Mendenhall,RB,Brees Nuts,$32,
4,Adrian Peterson,RB,The Great Chewbaccas,$55,
5,Arian Foster,RB,Brees Nuts,$56,
6,Phillip Rivers,QB,Team Thompson,$60,
7,Matt Ryan,QB,Phinatics,$51,
8,Calvin Johnson,WR,Crackers,$47,
9,Antonio Gates,TE,Pestilence,$50,
10,Micheal Vick,QB,Scalp Hunters,$60,
11,Roddy White,WR,Pillshovlers,$47,
12,Peyton Manning,QB,Pestilence,$58,
13,Chad Henne,QB,Team Colbert,$11,
14,Patrick Willis,LB,Team Colbert,$26,
15,Andre Johnson,WR,Team Colbert,$55,
16,Jimmy Graham,TE,Brees Nuts,$35,
17,Greg Jennings,WR,Ghost of Derrick Thomas,$45,
18,Dwayne Bowe,WR,He Hate Me,$30,
19,Tom Brady,QB,He Hate Me,$54,
20,Sam Bradford,QB,Team Colbert,$45,
21,Matt Stafford,QB,Team Thompson,$45,
22,Larry Fitzgerlad,WR,Pestilence,$47,
23,Hakeem Nicks,WR,Ghost of Derrick Thomas,$55,
24,Jamaal Charles,RB,GoodFellas,$50,
25,Chris Johnson,WR,MC Gusto,$58,
26,Jason Witten,TE,The Great Chewbaccas,$40,
27,Tony Romo,QB,Crackers,$55,
28,Tramon Williams,DB,Pillshovlers,$14,
29,Vernon Davis,TE,Scalp Hunters,$41,
30,Josh Freeman,QB,Ghost of Derrick Thomas,$47,
31,Dez Bryant,WR,Crackers,$40,
32,Knoshawn Moreno,RB,MC Gusto,$32,
33,Chris Cooley,TE,Phinatics,$28,
34,Brandon Marshall,WR,Pillshovlers,$35,
35,Desean Jackson,WR,Team Thompson,$57,
36,Ray Rice ,RB,Crackers,$46,
37,Tim Tebow,QB,Team Colbert,$17,
38,Mark Ingram,RB,Brees Nuts,$35,
39,Peyton Hillis,RB,Phinatics,$38,
40,Dallas Clark,TE,Team Christman,$39,
41,Jay Cutler,QB,MC Gusto,$30,
42,Paris Lenon,LB,The Great Chewbaccas,$5,
43,Matt Schaub,QB,Team Christman,$56,
44,Ben Rothlisberger,QB,Brees Nuts,$43,
45,Troy Polamalu,DB,GoodFellas,$13,
46,Ryan Grant,RB,Ghost of Derrick Thomas,$18,
47,Lesean McCoy,RB,Team Christman,$41,
48,Maurice Jones-Drew,RB,Team Colbert,$48,
49,Eli Manning,QB,Pillshovlers,$38,
50,Mike Wallace,WR,Brees Nuts,$44,
51,Darren McFadden,RB,The Great Chewbaccas,$44,
52,Joe Flacco,QB,GoodFellas,$32,
53,Steve Johnson,WR,GoodFellas,$41,
54,Tony Gonzalez,TE,Pestilence,$22,
55, Ndamukong Suh,DL,Phinatics,$16,
56,James Hall,DL,Team Thompson,$10,
57,Reggie Wayne,WR,MC Gusto,$39,
58,Mike Williams,WR,MC Gusto,$39,
59,Matt Forte,RB,He Hate Me,$30,
60,Michael Turner,RB,Scalp Hunters,$32,
61,Marcedes Lewis,TE,Brees Nuts,$23,
62,Jeremy Maclin,WR,GoodFellas,$39,
63,Danny Amendola,WR,Pillshovlers,$22,
64,Jermichael Finley,TE,Team Thompson,$41,
65,Rob Gronkowski,TE,Scalp Hunters,$28,
66,Kellen Winslow,TE,Phinatics,$27,
