Year,Team,Name,LogoURL
2025,1,Bird Gang,https://cloudfront.rtsports.com/logos/fbteam-81689-4642036-6894.jpg
2011,2,THE Great Chewbaccas,https://cloudfront.rtsports.com/logos/fbteam-81689-4642056-8045.jpg
2011,3,Phinatics,https://cloudfront.rtsports.com/logos/fbteam-81689-4642063-4481.jpg
2011,4,Scalp Hunters,https://cloudfront.rtsports.com/logos/team4642067_395_logo.jpg
2018,5,Cuzzo,https://cloudfront.rtsports.com/logos/fbteam-81689-4642064-5148.jpg
2023,6,GoodFellas,https://cloudfront.rtsports.com/logos/fbteam-81689-4642061-72.png
2020,7,He Hate Covid,https://cloudfront.rtsports.com/logos/fbteam-81689-4642058-2461.jpg
2011,8,Ghost of Derrick Thomas,https://cloudfront.rtsports.com/logos/fbteam-81689-4642057-7630.jpg
2019,9,Pestilence,https://cloudfront.rtsports.com/logos/fbteam-81689-4642068-2159.jpg
2011,10,Crackers,https://cloudfront.rtsports.com/football/img/stock-logos/helmets/rtsports-aqua.png
2022,11,401K Breaker,https://cloudfront.rtsports.com/logos/fbteam-81689-4642055-740.jpg
2025,12,Pepe Silvia,https://cloudfront.rtsports.com/logos/fbteam-81689-4642059-3546.jpg
2016,13,Burd is the Word,https://cloudfront.rtsports.com/logos/fbteam-81689-4642054-3166.png
2019,14,Magoo,https://cloudfront.rtsports.com/logos/fbteam-81689-4642060-7443.jpg
2015,14,Gunslinger,
2011,14,MC Gusto,
2014,9,The Governor,
2011,9,Pestilence,
2023,1,F@#$ Tha Police ,
2019,1,Injured Reserves,
2014,1,Smile High Club,
2013,1,"It is 2013 now, right?",
2012,1,Is it 2013 yet?,
2011,1,Team Thompson,
2017,6,GoodFellas (Watts' Amatta U) ,
2011,6,GoodFellas,
2013,13,Son of a Blitz - not meast,
2012,13,Marcus Dupree,
2011,13,Team Colbert,
2012,5,I Pitta the Fool,
2011,5,Team Christman,
2018,12,Orlando ballers,
2011,12,Pillshovellers,
2011,7,He Hate Me,
2015,11,Darth The Dude,
2011,11,Brees Nuts,
